AGREEMENT,QUOTENUMBER,REVISION,METERID,AGREE_START_DATE,PR_RELEASED_DATE,MAXPARSEDUIDRAW,RECENT_PARSED_FOR_PR,MAXEWORXFORECASTID,A.MAXEWORXFORECASTID||'.JSON',EW_ANNUAL_CONSUMPTION
1-HCG9QG,1-DWN432,2,PJM_BGE_6369933277,01/01/2019,01/10/2018,"2,226,970",01/04/2018,20180105151101260000_PJM_BGE_6369933277,20180105151101260000_PJM_BGE_6369933277.json,"5,847,100"
1-HCG9QG,1-DWN432,2,PJM_BGE_8307469667,01/01/2019,01/10/2018,"2,226,971",01/04/2018,20180105150603600000_PJM_BGE_8307469667,20180105150603600000_PJM_BGE_8307469667.json,"6,467,800"
1-GLXYN9,1-FKDPUP,2,PJM_COMED_1130796067,01/01/2019,01/17/2018,"2,252,579",01/17/2018,20180117105100653000_PJM_COMED_1130796067,20180117105100653000_PJM_COMED_1130796067.json,"1,053,700"
1-GLXYN9,1-FKDPUP,2,PJM_COMED_0870176006,01/01/2019,01/17/2018,"2,252,580",01/17/2018,20180117110500620000_PJM_COMED_0870176006,20180117110500620000_PJM_COMED_0870176006.json,"69,674,000"
1-GM7PIP,1-GLS18S,2,ERCOT_ONCOR_10443720000071435,07/01/2018,01/19/2018,"2,254,357",01/18/2018,20180118090500838000_ERCOT_ONCOR_10443720000071435,20180118090500838000_ERCOT_ONCOR_10443720000071435.json,"6,756,000"
1-GM7PIP,1-GLS18S,2,ERCOT_ONCOR_10443720000122771,07/01/2018,01/19/2018,"2,254,358",01/18/2018,20180118083301829000_ERCOT_ONCOR_10443720000122771,20180118083301829000_ERCOT_ONCOR_10443720000122771.json,"2,091,200"
1-GM7PIP,1-GLS18S,2,ERCOT_ONCOR_10443720000568333,07/01/2018,01/19/2018,"2,258,335",01/19/2018,20180119090859833000_ERCOT_ONCOR_10443720000568333,20180119090859833000_ERCOT_ONCOR_10443720000568333.json,"50,300"
1-GM7PIP,1-GLS18S,2,ERCOT_ONCOR_10443720000568364,07/01/2018,01/19/2018,"2,258,336",01/19/2018,20180119090859957000_ERCOT_ONCOR_10443720000568364,20180119090859957000_ERCOT_ONCOR_10443720000568364.json,16
1-GOMU6T,1-FP2V40,2,ERCOT_CPT_1008901000154320014100,05/01/2018,01/23/2018,"2,259,627",01/22/2018,20180123143601246000_ERCOT_CPT_1008901000154320014100,20180123143601246000_ERCOT_CPT_1008901000154320014100.json,"11,346,000"
1-GOMU6T,1-FP2V40,2,ERCOT_CPT_1008901000154390017100,05/01/2018,01/23/2018,"2,259,629",01/22/2018,20180123143601496000_ERCOT_CPT_1008901000154390017100,20180123143601496000_ERCOT_CPT_1008901000154390017100.json,"5,889,100"
1-GOMU6T,1-FP2V40,2,ERCOT_CPT_1008901000154400014100,05/01/2018,01/23/2018,"2,259,630",01/22/2018,20180123143601106000_ERCOT_CPT_1008901000154400014100,20180123143601106000_ERCOT_CPT_1008901000154400014100.json,"1,741,700"
1-GOMU6T,1-FP2V40,2,ERCOT_CPT_1008901000154330013100,05/01/2018,01/23/2018,"2,259,631",01/22/2018,20180123143601371000_ERCOT_CPT_1008901000154330013100,20180123143601371000_ERCOT_CPT_1008901000154330013100.json,"4,995,500"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000044727,05/01/2018,02/21/2018,"2,265,890",01/25/2018,20180220121600814000_NYISO_NYSEG_N01000000044727,20180220121600814000_NYISO_NYSEG_N01000000044727.json,"1,022,900"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000061531,05/01/2018,02/21/2018,"2,265,891",01/25/2018,20180220123100187000_NYISO_NYSEG_N01000000061531,20180220123100187000_NYISO_NYSEG_N01000000061531.json,"1,209,100"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000315168,05/01/2018,02/21/2018,"2,265,893",01/25/2018,20180220130604855000_NYISO_NYSEG_N01000000315168,20180220130604855000_NYISO_NYSEG_N01000000315168.json,"1,505,200"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000241190,05/01/2018,02/21/2018,"2,265,895",01/25/2018,20180220125601607000_NYISO_NYSEG_N01000000241190,20180220125601607000_NYISO_NYSEG_N01000000241190.json,"837,730"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000002635951,05/01/2018,02/21/2018,"2,265,896",01/25/2018,20180220132101248000_NYISO_NYSEG_N01000002635951,20180220132101248000_NYISO_NYSEG_N01000002635951.json,"1,868,300"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000199117,05/01/2018,02/21/2018,"2,265,897",01/25/2018,20180220124600449000_NYISO_NYSEG_N01000000199117,20180220124600449000_NYISO_NYSEG_N01000000199117.json,"1,954,500"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000039958,05/01/2018,02/21/2018,"2,265,898",01/25/2018,20180220115600792000_NYISO_NYSEG_N01000000039958,20180220115600792000_NYISO_NYSEG_N01000000039958.json,"1,690,600"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000122010,05/01/2018,02/21/2018,"2,265,901",01/25/2018,20180220104400492000_NYISO_NYSEG_N01000000122010,20180220104400492000_NYISO_NYSEG_N01000000122010.json,"238,830"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000472936,05/01/2018,02/21/2018,"2,265,904",01/25/2018,20180220104701237000_NYISO_NYSEG_N01000000472936,20180220104701237000_NYISO_NYSEG_N01000000472936.json,"1,062"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000020824322,05/01/2018,02/21/2018,"2,265,905",01/25/2018,20180220104905759000_NYISO_NYSEG_N01000020824322,20180220104905759000_NYISO_NYSEG_N01000020824322.json,199
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000211987,05/01/2018,02/21/2018,"2,265,906",01/25/2018,20180220104400929000_NYISO_NYSEG_N01000000211987,20180220104400929000_NYISO_NYSEG_N01000000211987.json,"75,119"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000300244,05/01/2018,02/21/2018,"2,265,907",01/25/2018,20180220104402427000_NYISO_NYSEG_N01000000300244,20180220104402427000_NYISO_NYSEG_N01000000300244.json,"1,613,100"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000008236440,05/01/2018,02/21/2018,"2,265,909",01/25/2018,20180220104702906000_NYISO_NYSEG_N01000008236440,20180220104702906000_NYISO_NYSEG_N01000008236440.json,"14,161"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000303289,05/01/2018,02/21/2018,"2,265,912",01/25/2018,20180220104603423000_NYISO_NYSEG_N01000000303289,20180220104603423000_NYISO_NYSEG_N01000000303289.json,"2,024,900"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000996926,05/01/2018,02/21/2018,"2,265,913",01/25/2018,20180220104704919000_NYISO_NYSEG_N01000000996926,20180220104704919000_NYISO_NYSEG_N01000000996926.json,"244,560"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000125146,05/01/2018,02/21/2018,"2,265,918",01/25/2018,20180220104700364000_NYISO_NYSEG_N01000000125146,20180220104700364000_NYISO_NYSEG_N01000000125146.json,"6,856"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000020832465,05/01/2018,02/21/2018,"2,265,921",01/25/2018,20180220104301554000_NYISO_NYSEG_N01000020832465,20180220104301554000_NYISO_NYSEG_N01000020832465.json,"241,190"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000019127992,05/01/2018,02/21/2018,"2,265,925",01/25/2018,20180220104405047000_NYISO_NYSEG_N01000019127992,20180220104405047000_NYISO_NYSEG_N01000019127992.json,"1,650,700"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000140962,05/01/2018,02/21/2018,"2,265,928",01/25/2018,20180220104806946000_NYISO_NYSEG_N01000000140962,20180220104806946000_NYISO_NYSEG_N01000000140962.json,"282,350"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000008463150,05/01/2018,02/21/2018,"2,265,929",01/25/2018,20180220104403534000_NYISO_NYSEG_N01000008463150,20180220104403534000_NYISO_NYSEG_N01000008463150.json,"4,304"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000001068881,05/01/2018,02/21/2018,"2,265,931",01/25/2018,20180220104705122000_NYISO_NYSEG_N01000001068881,20180220104705122000_NYISO_NYSEG_N01000001068881.json,"35,329"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000127779,05/01/2018,02/21/2018,"2,265,936",01/25/2018,20180220104302241000_NYISO_NYSEG_N01000000127779,20180220104302241000_NYISO_NYSEG_N01000000127779.json,"1,708"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000323550,05/01/2018,02/21/2018,"2,265,937",01/25/2018,20180220104800550000_NYISO_NYSEG_N01000000323550,20180220104800550000_NYISO_NYSEG_N01000000323550.json,"21,020"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000009404757,05/01/2018,02/21/2018,"2,265,939",01/25/2018,20180220104503595000_NYISO_NYSEG_N01000009404757,20180220104503595000_NYISO_NYSEG_N01000009404757.json,"65,643"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000130187,05/01/2018,02/21/2018,"2,265,940",01/25/2018,20180220104409353000_NYISO_NYSEG_N01000000130187,20180220104409353000_NYISO_NYSEG_N01000000130187.json,"248,700"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000020155735,05/01/2018,02/21/2018,"2,265,942",01/25/2018,20180220104703187000_NYISO_NYSEG_N01000020155735,20180220104703187000_NYISO_NYSEG_N01000020155735.json,90
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000059656819,05/01/2018,02/21/2018,"2,265,943",01/25/2018,20180220104610115000_NYISO_NYSEG_N01000059656819,20180220104610115000_NYISO_NYSEG_N01000059656819.json,"505,480"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000008511909,05/01/2018,02/21/2018,"2,265,945",01/25/2018,20180220104305142000_NYISO_NYSEG_N01000008511909,20180220104305142000_NYISO_NYSEG_N01000008511909.json,"28,434"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000008511933,05/01/2018,02/21/2018,"2,265,946",01/25/2018,20180220104802297000_NYISO_NYSEG_N01000008511933,20180220104802297000_NYISO_NYSEG_N01000008511933.json,"10,840"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000060843463,05/01/2018,02/21/2018,"2,265,947",01/25/2018,20180220104905930000_NYISO_NYSEG_N01000060843463,20180220104905930000_NYISO_NYSEG_N01000060843463.json,"115,500"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000010011179,05/01/2018,02/21/2018,"2,265,948",01/25/2018,20180220104803716000_NYISO_NYSEG_N01000010011179,20180220104803716000_NYISO_NYSEG_N01000010011179.json,"589,280"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000011681608,05/01/2018,02/21/2018,"2,265,949",01/25/2018,20180220104301367000_NYISO_NYSEG_N01000011681608,20180220104301367000_NYISO_NYSEG_N01000011681608.json,"822,670"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000011724531,05/01/2018,02/21/2018,"2,265,950",01/25/2018,20180220104703172000_NYISO_NYSEG_N01000011724531,20180220104703172000_NYISO_NYSEG_N01000011724531.json,"4,687"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000020156634,05/01/2018,02/21/2018,"2,265,951",01/25/2018,20180220104703421000_NYISO_NYSEG_N01000020156634,20180220104703421000_NYISO_NYSEG_N01000020156634.json,0
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000013500863,05/01/2018,02/21/2018,"2,265,952",01/25/2018,20180220104305236000_NYISO_NYSEG_N01000013500863,20180220104305236000_NYISO_NYSEG_N01000013500863.json,"1,259"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000014102651,05/01/2018,02/21/2018,"2,265,953",01/25/2018,20180220104905618000_NYISO_NYSEG_N01000014102651,20180220104905618000_NYISO_NYSEG_N01000014102651.json,149
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000131011,05/01/2018,02/21/2018,"2,265,954",01/25/2018,20180220104302381000_NYISO_NYSEG_N01000000131011,20180220104302381000_NYISO_NYSEG_N01000000131011.json,"441,590"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000131268,05/01/2018,02/21/2018,"2,265,955",01/25/2018,20180220104806899000_NYISO_NYSEG_N01000000131268,20180220104806899000_NYISO_NYSEG_N01000000131268.json,"9,248"
1-GSSJU5,1-GNCC3W,3,NYISO_NYSEG_N01000000404855,05/01/2018,02/21/2018,"2,265,956",01/25/2018,20180220104604499000_NYISO_NYSEG_N01000000404855,20180220104604499000_NYISO_NYSEG_N01000000404855.json,"476,520"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000404855,05/01/2018,02/21/2018,"2,265,956",01/25/2018,20180220104604499000_NYISO_NYSEG_N01000000404855,20180220104604499000_NYISO_NYSEG_N01000000404855.json,"476,520"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000295436,05/01/2018,02/21/2018,"2,265,959",01/25/2018,20180220104910891000_NYISO_NYSEG_N01000000295436,20180220104910891000_NYISO_NYSEG_N01000000295436.json,"373,080"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000220384,05/01/2018,02/21/2018,"2,265,960",01/25/2018,20180220104401132000_NYISO_NYSEG_N01000000220384,20180220104401132000_NYISO_NYSEG_N01000000220384.json,"347,890"
1-GSSJU5,1-GNCC3W,3,NYISO_NYSEG_N01000000049353,05/01/2018,02/21/2018,"2,265,961",01/25/2018,20180220104806056000_NYISO_NYSEG_N01000000049353,20180220104806056000_NYISO_NYSEG_N01000000049353.json,"320,480"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000049353,05/01/2018,02/21/2018,"2,265,961",01/25/2018,20180220104806056000_NYISO_NYSEG_N01000000049353,20180220104806056000_NYISO_NYSEG_N01000000049353.json,"320,480"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000060919917,05/01/2018,02/21/2018,"2,265,962",01/25/2018,20180220104307030000_NYISO_NYSEG_N01000060919917,20180220104307030000_NYISO_NYSEG_N01000060919917.json,"5,355"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000060923620,05/01/2018,02/21/2018,"2,265,963",01/25/2018,20180220104301741000_NYISO_NYSEG_N01000060923620,20180220104301741000_NYISO_NYSEG_N01000060923620.json,"146,820"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000953588,05/01/2018,02/21/2018,"2,265,965",01/25/2018,20180220104504875000_NYISO_NYSEG_N01000000953588,20180220104504875000_NYISO_NYSEG_N01000000953588.json,"75,487"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000966572,05/01/2018,02/21/2018,"2,265,966",01/25/2018,20180220104615107000_NYISO_NYSEG_N01000000966572,20180220104615107000_NYISO_NYSEG_N01000000966572.json,"40,012"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000317891,05/01/2018,02/21/2018,"2,265,967",01/25/2018,20180220104911749000_NYISO_NYSEG_N01000000317891,20180220104911749000_NYISO_NYSEG_N01000000317891.json,227
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000992966,05/01/2018,02/21/2018,"2,265,969",01/25/2018,20180220104805807000_NYISO_NYSEG_N01000000992966,20180220104805807000_NYISO_NYSEG_N01000000992966.json,441
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000113514,05/01/2018,02/21/2018,"2,265,971",01/25/2018,20180220104409104000_NYISO_NYSEG_N01000000113514,20180220104409104000_NYISO_NYSEG_N01000000113514.json,"87,971"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000319079,05/01/2018,02/21/2018,"2,265,972",01/25/2018,20180220104402567000_NYISO_NYSEG_N01000000319079,20180220104402567000_NYISO_NYSEG_N01000000319079.json,"292,890"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000040949,05/01/2018,02/21/2018,"2,265,973",01/25/2018,20180220104301897000_NYISO_NYSEG_N01000000040949,20180220104301897000_NYISO_NYSEG_N01000000040949.json,"6,025"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000042192,05/01/2018,02/21/2018,"2,265,974",01/25/2018,20180220104504703000_NYISO_NYSEG_N01000000042192,20180220104504703000_NYISO_NYSEG_N01000000042192.json,"331,820"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000158527,05/01/2018,02/21/2018,"2,265,975",01/25/2018,20180220104302428000_NYISO_NYSEG_N01000000158527,20180220104302428000_NYISO_NYSEG_N01000000158527.json,"459,970"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005669387,05/01/2018,02/21/2018,"2,265,977",01/25/2018,20180220104307935000_NYISO_NYSEG_N01000005669387,20180220104307935000_NYISO_NYSEG_N01000005669387.json,128
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000501627,05/01/2018,02/21/2018,"2,265,978",01/25/2018,20180220104501271000_NYISO_NYSEG_N01000000501627,20180220104501271000_NYISO_NYSEG_N01000000501627.json,"1,456,000"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000002077352,05/01/2018,02/21/2018,"2,265,981",01/25/2018,20180220104701424000_NYISO_NYSEG_N01000002077352,20180220104701424000_NYISO_NYSEG_N01000002077352.json,"720,270"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000003479912,05/01/2018,02/21/2018,"2,265,982",01/25/2018,20180220105001015000_NYISO_NYSEG_N01000003479912,20180220105001015000_NYISO_NYSEG_N01000003479912.json,"1,460,700"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000003527306,05/01/2018,02/21/2018,"2,265,983",01/25/2018,20180220104801174000_NYISO_NYSEG_N01000003527306,20180220104801174000_NYISO_NYSEG_N01000003527306.json,"2,346"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000172874,05/01/2018,02/21/2018,"2,265,985",01/25/2018,20180220104806961000_NYISO_NYSEG_N01000000172874,20180220104806961000_NYISO_NYSEG_N01000000172874.json,"514,020"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000078089,05/01/2018,02/21/2018,"2,265,986",01/25/2018,20180220104906258000_NYISO_NYSEG_N01000000078089,20180220104906258000_NYISO_NYSEG_N01000000078089.json,263
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000007080856,05/01/2018,02/21/2018,"2,265,987",01/25/2018,20180220104802125000_NYISO_NYSEG_N01000007080856,20180220104802125000_NYISO_NYSEG_N01000007080856.json,281
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000001193614,05/01/2018,02/21/2018,"2,265,988",01/25/2018,20180220104705215000_NYISO_NYSEG_N01000001193614,20180220104705215000_NYISO_NYSEG_N01000001193614.json,"11,958"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000001238591,05/01/2018,02/21/2018,"2,265,989",01/25/2018,20180220104705293000_NYISO_NYSEG_N01000001238591,20180220104705293000_NYISO_NYSEG_N01000001238591.json,245
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000003207784,05/01/2018,02/21/2018,"2,265,991",01/25/2018,20180220104402583000_NYISO_NYSEG_N01000003207784,20180220104402583000_NYISO_NYSEG_N01000003207784.json,"2,467"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005677976,05/01/2018,02/21/2018,"2,265,992",01/25/2018,20180220104801439000_NYISO_NYSEG_N01000005677976,20180220104801439000_NYISO_NYSEG_N01000005677976.json,203
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000552521,05/01/2018,02/21/2018,"2,265,993",01/25/2018,20180220104307607000_NYISO_NYSEG_N01000000552521,20180220104307607000_NYISO_NYSEG_N01000000552521.json,612
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000003322807,05/01/2018,02/21/2018,"2,265,996",01/25/2018,20180220104502457000_NYISO_NYSEG_N01000003322807,20180220104502457000_NYISO_NYSEG_N01000003322807.json,"269,990"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005728530,05/01/2018,02/21/2018,"2,265,998",01/25/2018,20180220104607884000_NYISO_NYSEG_N01000005728530,20180220104607884000_NYISO_NYSEG_N01000005728530.json,"99,202"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005810734,05/01/2018,02/21/2018,"2,265,999",01/25/2018,20180220104702282000_NYISO_NYSEG_N01000005810734,20180220104702282000_NYISO_NYSEG_N01000005810734.json,"646,650"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000002183861,05/01/2018,02/21/2018,"2,266,000",01/25/2018,20180220104913840000_NYISO_NYSEG_N01000002183861,20180220104913840000_NYISO_NYSEG_N01000002183861.json,"386,960"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000000057448,05/01/2018,02/21/2018,"2,266,002",01/25/2018,20180220104504921000_NYISO_NYSEG_N01000000057448,20180220104504921000_NYISO_NYSEG_N01000000057448.json,"18,549"
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005031323,05/01/2018,02/21/2018,"2,266,003",01/25/2018,20180220104805386000_NYISO_NYSEG_N01000005031323,20180220104805386000_NYISO_NYSEG_N01000005031323.json,149
1-GSXIOV,1-GRQ8M6,1,NYISO_NYSEG_N01000005122304,05/01/2018,02/21/2018,"2,266,004",01/25/2018,20180220104805604000_NYISO_NYSEG_N01000005122304,20180220104805604000_NYISO_NYSEG_N01000005122304.json,954
